Date,MMWR_week,Location,Distributed,Distributed_Janssen,Distributed_Moderna,Distributed_Pfizer,Distributed_Unk_Manuf,Dist_Per_100K,Distributed_Per_100k_12Plus,Distributed_Per_100k_18Plus,Distributed_Per_100k_65Plus,Administered,Administered_12Plus,Administered_18Plus,Administered_65Plus,Administered_Janssen,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Residents,Administered_Fed_LTC_Staff,Administered_Fed_LTC_Unk,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose1_Residents,Administered_Fed_LTC_Dose1_Staff,Administered_Fed_LTC_Dose1_Unk,Admin_Per_100K,Admin_Per_100k_12Plus,Admin_Per_100k_18Plus,Admin_Per_100k_65Plus,Recip_Administered,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Series_Complete_Janssen,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Unk_Manuf,Series_Complete_Janssen_12Plus,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Unk_Manuf_12Plus,Series_Complete_Janssen_18Plus,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Janssen_65Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_FedLTC,Series_Complete_FedLTC_Residents,Series_Complete_FedLTC_Staff,Series_Complete_FedLTC_Unknown
06/01/2021,22,PA,"15,063,565","1,047,600","6,365,920","7,650,045",0,"117,666","135,934","148,156","629,389","12,614,213","12,612,258","12,292,208","4,171,448","474,139","5,354,059","6,785,679",336,"430,690","219,562","192,655","18,473","244,755","122,004","109,174","13,577","98,533","113,813","120,899","174,292","12,665,419","7,489,056",58.5,"7,487,444",67.6,"7,235,920",71.2,"2,354,871",98.4,"5,597,140",43.7,"5,596,756",50.5,"5,529,110",54.4,"1,862,090",77.8,"478,662","2,260,907","2,857,307",264,"478,625","2,260,795","2,857,072",264,"478,420","2,259,917","2,790,519",254,"65,798","881,134","915,017",141,"184,430","96,537","82,745","5,148"
06/01/2021,22,RI,"1,459,925","61,600","592,780","805,545",0,"137,812","157,406","170,778","780,517","1,163,595","1,163,529","1,124,851","336,134","43,789","472,887","646,880",39,"51,809","26,616","16,436","8,757","31,422","14,811","9,547","7,064","109,839","125,449","131,582","179,707","1,153,477","646,437",61,"646,371",69.7,"617,435",72.2,"175,678",93.9,"548,366",51.8,"548,358",59.1,"539,286",63.1,"164,317",87.8,"43,718","217,091","287,547",10,"43,717","217,087","287,544",10,"43,701","217,056","278,519",10,"5,483","75,462","83,368",4,"20,167","11,703","6,779","1,685"
06/01/2021,22,AR,"2,770,540","177,200","1,236,140","1,357,200",0,"91,806","108,341","119,541","528,848","2,081,267","2,078,924","2,036,932","722,816","68,390","982,185","1,030,153",539,"29,065","8,012","3,939","17,114","19,107","4,722","2,384","12,001","68,966","81,295","87,888","137,973","2,088,394","1,195,224",39.6,"1,192,948",46.6,"1,162,649",50.2,"398,219",76,"942,315",31.2,"942,165",36.8,"930,171",40.1,"332,716",63.5,"66,820","436,824","438,536",135,"66,713","436,820","438,497",135,"66,483","436,135","427,425",128,"10,686","192,633","129,308",89,"9,875","3,228","1,542","5,105"
06/01/2021,22,GA,"10,750,095","592,600","4,531,160","5,626,335",0,"101,250","119,604","132,496","708,663","7,610,655","7,609,096","7,454,201","2,311,708","197,853","3,380,858","4,031,309",635,"122,439","70,984","38,822","12,633","73,903","41,242","23,049","9,612","71,681","84,657","91,874","152,391","7,600,749","4,236,245",39.9,"4,234,776",47.1,"4,121,157",50.8,"1,202,371",79.3,"3,407,704",32.1,"3,407,515",37.9,"3,365,852",41.5,"1,038,018",68.4,"194,689","1,485,374","1,727,267",374,"194,602","1,485,335","1,727,204",374,"194,441","1,484,970","1,686,080",361,"24,781","581,744","431,314",179,"47,883","29,314","15,512","3,057"
06/01/2021,22,DE,"1,225,135","64,900","502,500","657,735",0,"125,814","145,883","159,069","648,542","943,680","943,519","914,264","324,222","41,013","381,820","520,524",323,"36,287","11,781","8,582","15,924","24,533","6,794","5,270","12,469","96,911","112,350","118,706","171,631","921,875","534,442",54.9,"534,304",63.6,"513,365",66.7,"172,968",91.6,"422,890",43.4,"422,868",50.4,"416,840",54.1,"150,853",79.9,"40,385","161,822","220,534",149,"40,379","161,819","220,521",149,"40,357","161,736","214,598",149,"7,946","62,027","80,787",93,"11,552","4,813","3,253","3,486"
06/01/2021,22,BP2,"190,340","10,500","76,880","102,960",0,0,0,0,0,"182,690","182,689","182,689","6,152","6,407","73,634","102,649",0,0,0,0,0,0,0,0,0,0,0,0,0,"182,690","100,845",0,"100,844",0,"100,844",0,"3,243",0,"87,331",0,"87,331",0,"87,331",0,"2,956",0,"6,374","32,967","47,990",0,"6,374","32,967","47,990",0,"6,374","32,967","47,990",0,83,"1,420","1,453",0,0,0,0,0
06/01/2021,22,MP,"72,330","2,600","20,200","49,530",0,"127,158","148,901","163,023","747,983","48,584","48,584","46,705","5,034",275,"6,907","41,402",0,1,0,0,1,1,0,0,1,"85,412","100,016","105,267","52,058","48,615","26,167",46,"26,167",53.9,"24,835",56,"2,607",27,"22,705",39.9,"22,705",46.7,"22,158",49.9,"2,481",25.7,280,"3,044","19,381",0,280,"3,044","19,381",0,280,"3,044","18,834",0,55,401,"2,025",0,0,0,0,0
06/01/2021,22,GU,"207,370","11,100","74,200","122,070",0,"125,097","146,487","160,380","735,850","161,302","161,293","154,540","27,341","2,926","63,344","95,032",0,1,0,0,1,1,0,0,1,"97,306","113,938","119,521","97,019","161,441","89,942",54.3,"89,934",63.5,"85,381",66,"14,487",51.4,"73,430",44.3,"73,429",51.9,"71,231",55.1,"12,889",45.7,"2,928","27,621","42,881",0,"2,928","27,620","42,881",0,"2,928","27,615","40,688",0,203,"5,503","7,183",0,0,0,0,0
06/01/2021,22,NY,"22,652,975","1,233,700","9,366,520","12,052,755",0,"116,446","135,054","146,856","687,256","19,707,378","19,706,068","19,188,844","5,168,904","828,036","8,151,594","10,723,586","4,162","426,395","204,271","148,762","73,362","267,460","118,908","88,513","60,039","101,305","117,485","124,399","156,817","19,639,212","10,871,605",55.9,"10,870,543",64.8,"10,480,566",67.9,"2,750,243",83.4,"9,143,738",47,"9,143,398",54.5,"9,014,201",58.4,"2,476,941",75.1,"782,514","3,659,905","4,700,475",844,"782,418","3,659,785","4,700,365",830,"782,089","3,659,103","4,572,186",823,"145,040","1,196,963","1,134,494",444,"156,373","83,290","58,884","14,199"
06/01/2021,22,MO,"5,910,925","309,400","2,427,900","3,173,625",0,"96,309","112,896","124,001","556,565","4,684,402","4,684,118","4,578,184","1,585,491","147,873","1,825,639","2,710,501",389,"157,853","85,197","49,567","23,089","99,550","51,020","30,799","17,731","76,325","89,465","96,042","149,288","4,590,319","2,594,926",42.3,"2,594,660",49.6,"2,517,139",52.8,"835,536",78.7,"2,112,842",34.4,"2,112,815",40.4,"2,089,321",43.8,"739,572",69.6,"148,433","811,681","1,152,663",65,"148,422","811,672","1,152,656",65,"148,306","811,482","1,129,471",62,"29,016","339,034","371,494",28,"57,855","33,734","18,575","5,546"
